"","height","age_median","age_min","age_max","plus","minus"
"419",418,809.53,806.01,812.84,3.31,3.52
"420",419,809.51,805.99,812.82,3.31,3.52
"421",420,809.49,805.97,812.8,3.31,3.52
"422",421,809.47,805.95,812.78,3.31,3.52
"423",422,809.45,805.94,812.76,3.31,3.52
"424",423,809.43,805.92,812.74,3.31,3.51
"425",424,809.41,805.9,812.72,3.31,3.51
"426",425,809.39,805.88,812.7,3.31,3.51
"427",426,809.37,805.86,812.68,3.31,3.51
"428",427,809.35,805.84,812.66,3.31,3.51
"429",428,809.34,805.82,812.64,3.31,3.51
"430",429,809.32,805.8,812.63,3.31,3.52
"431",430,809.3,805.85,812.68,3.38,3.44
"432",431,809.28,805.83,812.66,3.38,3.44
"433",432,809.26,805.82,812.64,3.38,3.44
"434",433,809.24,805.8,812.62,3.38,3.44
"435",434,809.22,805.78,812.6,3.38,3.44
"436",435,809.2,805.76,812.58,3.38,3.44
"437",436,809.18,805.74,812.56,3.38,3.44
"438",437,809.16,805.72,812.54,3.38,3.44
"439",438,809.14,805.7,812.52,3.38,3.44
"440",439,809.12,805.68,812.5,3.38,3.44
"441",440,809.1,805.66,812.48,3.38,3.44
"442",441,809.08,805.64,812.46,3.38,3.44
"443",442,809.06,805.63,812.44,3.38,3.44
"444",443,809.05,805.61,812.42,3.38,3.44
"445",444,809.03,805.59,812.4,3.38,3.44
"446",445,809.01,805.57,812.38,3.38,3.44
"447",446,808.99,805.55,812.36,3.38,3.44
"448",447,808.97,805.53,812.34,3.38,3.44
"449",448,808.95,805.51,812.32,3.38,3.44
"450",449,808.93,805.49,812.31,3.38,3.44
"451",450,808.91,805.39,812.2,3.29,3.52
"452",451,808.89,805.37,812.18,3.29,3.52
"453",452,808.87,805.35,812.16,3.29,3.52
"454",453,808.85,805.33,812.14,3.29,3.52
"455",454,808.83,805.31,812.12,3.29,3.52
"456",455,808.81,805.29,812.1,3.29,3.52
"457",456,808.79,805.27,812.08,3.29,3.52
"458",457,808.77,805.25,812.06,3.29,3.52
"459",458,808.75,805.24,812.04,3.29,3.52
"460",459,808.73,805.22,812.02,3.29,3.52
"461",460,808.71,805.2,812,3.29,3.52
"462",461,808.7,805.18,811.98,3.29,3.52
"463",462,808.68,805.14,811.94,3.27,3.54
"464",463,808.66,805.12,811.92,3.26,3.54
"465",464,808.64,805.1,811.9,3.26,3.54
"466",465,808.62,805.08,811.88,3.26,3.54
"467",466,808.6,805.06,811.86,3.26,3.54
"468",467,808.58,805.04,811.84,3.26,3.54
"469",468,808.56,805.02,811.82,3.26,3.54
"470",469,808.54,805,811.8,3.26,3.54
"471",470,808.52,804.98,811.78,3.26,3.54
"472",471,808.5,804.96,811.76,3.26,3.54
"473",472,808.48,804.94,811.74,3.26,3.54
"474",473,808.46,804.92,811.72,3.26,3.53
"475",474,808.44,804.9,811.7,3.26,3.53
"476",475,808.42,804.89,811.68,3.26,3.53
"477",476,808.4,804.87,811.66,3.26,3.53
"478",477,808.38,804.77,811.57,3.19,3.61
"479",478,808.36,804.83,811.62,3.26,3.53
"480",479,808.34,804.81,811.6,3.26,3.53
"481",480,808.32,804.79,811.58,3.26,3.53
"482",481,808.3,804.69,811.49,3.18,3.61
"483",482,808.28,804.68,811.47,3.18,3.61
"484",483,808.26,804.66,811.45,3.18,3.6
"485",484,808.24,804.64,811.43,3.18,3.6
"486",485,808.22,804.71,811.5,3.28,3.51
"487",486,808.2,804.67,811.46,3.26,3.53
"488",487,808.18,804.65,811.44,3.25,3.53
"489",488,808.16,804.63,811.41,3.25,3.53
"490",489,808.14,804.61,811.39,3.25,3.53
"491",490,808.12,804.59,811.37,3.25,3.53
"492",491,808.1,804.57,811.35,3.25,3.53
"493",492,808.08,804.55,811.33,3.25,3.53
"494",493,808.06,804.53,811.31,3.25,3.53
"495",494,808.04,804.51,811.29,3.25,3.53
"496",495,808.02,804.49,811.27,3.25,3.53
"497",496,808,804.47,811.25,3.25,3.53
"498",497,807.98,804.45,811.23,3.25,3.53
"499",498,807.96,804.37,811.15,3.18,3.59
"500",499,807.94,804.35,811.13,3.18,3.59
"501",500,807.92,804.33,811.11,3.18,3.59
"502",501,807.9,804.31,811.08,3.18,3.59
"503",502,807.88,804.3,811.06,3.18,3.59
"504",503,807.86,804.28,811.04,3.18,3.59
"505",504,807.84,804.26,811.02,3.18,3.59
"506",505,807.82,804.24,811,3.18,3.59
"507",506,807.8,804.22,810.98,3.18,3.59
"508",507,807.78,804.2,810.96,3.18,3.59
"509",508,807.76,804.18,810.94,3.18,3.58
"510",509,807.74,804.16,810.92,3.18,3.58
"511",510,807.72,804.14,810.9,3.18,3.58
"512",511,807.7,804.12,810.88,3.18,3.58
"513",512,807.68,804.1,810.86,3.18,3.58
"514",513,807.66,804.08,810.84,3.17,3.59
"515",514,807.64,804.06,810.81,3.17,3.59
"516",515,807.62,804.04,810.79,3.17,3.59
"517",516,807.6,804.02,810.77,3.17,3.59
"518",517,807.58,804,810.75,3.17,3.59
"519",518,807.56,803.98,810.73,3.17,3.59
"520",519,807.54,803.96,810.71,3.17,3.59
"521",520,807.52,803.94,810.7,3.17,3.58
"522",521,807.5,803.92,810.68,3.17,3.58
"523",522,807.48,803.9,810.66,3.17,3.58
"524",523,807.46,803.88,810.64,3.17,3.58
"525",524,807.44,803.86,810.62,3.17,3.58
"526",525,807.42,803.84,810.59,3.17,3.58
"527",526,807.4,803.82,810.57,3.17,3.58
"528",527,807.38,803.8,810.55,3.17,3.58
"529",528,807.36,803.78,810.53,3.17,3.58
"530",529,807.34,803.76,810.51,3.17,3.58
"531",530,807.32,803.74,810.49,3.17,3.58
"532",531,807.3,803.72,810.47,3.17,3.58
"533",532,807.28,803.7,810.45,3.17,3.58
"534",533,807.26,803.68,810.43,3.17,3.58
"535",534,807.24,803.66,810.41,3.17,3.58
"536",535,807.22,803.64,810.39,3.17,3.58
"537",536,807.2,803.62,810.37,3.17,3.58
"538",537,807.18,803.6,810.35,3.17,3.58
"539",538,807.16,803.58,810.33,3.17,3.58
"540",539,807.14,803.55,810.29,3.15,3.59
"541",540,807.12,803.53,810.27,3.15,3.59
"542",541,807.1,803.51,810.25,3.15,3.59
"543",542,807.08,803.49,810.23,3.15,3.59
"544",543,807.06,803.46,810.21,3.15,3.59
"545",544,807.04,803.44,810.19,3.15,3.59
"546",545,807.02,803.42,810.16,3.15,3.59
"547",546,807,803.4,810.14,3.15,3.59
"548",547,806.98,803.38,810.12,3.15,3.59
"549",548,806.96,803.36,810.1,3.15,3.59
"550",549,806.94,803.34,810.08,3.15,3.59
"551",550,806.92,803.32,810.06,3.15,3.59
"552",551,806.89,803.3,810.04,3.15,3.59
"553",552,806.87,803.28,810.02,3.15,3.59
"554",553,806.85,803.26,810,3.15,3.59
"555",554,806.83,803.26,810,3.17,3.57
"556",555,806.81,803.24,809.98,3.17,3.57
"557",556,806.79,803.2,809.94,3.15,3.59
"558",557,806.77,803.23,809.96,3.19,3.55
