height,d13C
798.1,2.61
798.2,2.72
798.3,3.82
798.6,2.16
798.72,2.14
798.72,2.58
799,2.37
799.1,2.5
799.6,1.79
799.8,3.56
799.83,2.87
800.18,4.23
800.2,2.78
800.3,3.66
800.7,2.96
800.9,2.76
800.9,3.39
801,3.96
801.11,2.63
801.2,2.58
801.55,3.55
801.6,3.31
801.9,2.79
801.9,2.85
802,3.28
802.7,2.98
802.9,2.82
802.97,1.93
803,3.91
803.1,3.92
803.59,1.98
803.6,2.85
803.68,3.12
803.7,3.47
803.9,2.82
804,4.39
804.38,3.83
804.39,-1.01
804.7,3.42
804.7,2.66
805,2.97
805.1,3.47
805.2,3.01
805.28,2.87
805.75,3.75
805.9,2.73
806.25,2.66
806.6,3.3
806.7,3.23
806.7,2.84
807.21,4.33
807.5,2.94
808.2,3.78
808.87,3.73
808.92,2.53
808.94,2.92
809,3.04
809.2,3.77
809.5,3.37
809.5,4.03
809.6,3.52
810.3,4.48
811.3,3.29
811.4,2.29
811.5,4.16
811.8,3.25
812.37,2.44
813.7,3.67
814,5.11
814.1,3.7
814.5,2.77
816.2,4.61
816.4,3.66
816.81,4.29
816.9,1.03
818.7,4.73
819.12,2.98
820.3,2.52
821.16,3.41
822,4.09
822,4.33
822.49,3.19
822.9,3.5
824.53,3.47
825.9,2.84
827.99,3.8
828.5,4.88
828.9,3.23
829.3,4.34
830,4.2
830.91,3.83
831.9,3.35
835.4,5.87
836.3,4.62
836.7,5.65
837.4,5.28
837.4,5.93
839.07,5.14
839.2,6.68
840.3,5.18
841.29,5.82
843.3,4.58
843.4,3.8
844.1,4.56
844.8,5.16
845.73,4.66
846.1,5.63
846.2,6.24
846.8,3.94
849.2,5.86
849.4,5.86
849.4,6.26
849.72,5.37
852,5.95
852.4,6.08
852.73,5.24
853,6.29
855,5.62
855.2,6.11
858.3,7.78
858.9,4.25
859,5.54
861.3,6.75
862.4,4.63
863.3,6.25
864.5,5.62
865.1,5.04
868.2,4.66
871,5.5
871.2,5.35
872.8,4.57
874.2,4.95
876.77,6.84
877.2,4.36
878.3,4.81
878.8,4.83
879.7,4.35
880,5.56
881.2,6.86
883,5.07
883,5.4
884.2,4.2
887.5,4.83
887.5,4.52
888.8,4.85
890.3,4.61
890.3,4.73
890.4,4.74
892.4,3.42
892.4,4.33
894.9,4.35
895.5,5.19
895.84,7.48
897.3,4.51
897.61,4.72
898.5,4.34
898.9,6.9
900.14,5.27
900.72,4.42
901.8,4.98
902.8,5.52
906.8,2.77
906.9,5.66
908.9,3.54
911.3,4
911.36,5.09
914.6,3.99
917.3,4.88
917.3,6.14
918.5,6.05
921,4.94
921.6,6.11
922.01,5.31
922.3,5.36
929.2,4.38
930.2,4.84
930.88,4.58
932.7,4.94
936.1,5.84
936.2,4.87
942.2,4.31
945.9,5.04
949.5,5.28
951.5,5
956.1,5.55
957.93,5.16
959.1,4.46
960.2,5.73
965.02,5.77
967.4,2.86
970.4,4.14
971.3,7.34
974.9,3.87
979.9,4.13
983.5,3.99
985.8,4.45
987.5,4.37
987.64,4.31
991.3,8.35
993.8,4.11
994.7,4.15
1000.2,3.31
1004.05,3.89
1012.4,3.61
1013.04,4.21
1014.36,4.03
1017.01,4.81
1018.3,6.49
1019.4,3.65
1020.18,4.35
1020.2,4.33
1021.7,4.09
1022.6,3.8
1023.2,3.82
1023.3,5.1
1024.2,3.94
1025.47,4.2
1025.6,5.05
1027.1,3.35
1030.8,4.06
1031.29,3.95
1031.29,4.12
1031.29,4.66
1032.7,4.23
1034.8,4.01
1035.1,5
1036,3.2
1036.6,4.07
1037.2,4.28
1040.5,3.53
1043,4.79
1043.73,5.85
1051.8,4.86
1052.8,4.87
1052.84,4.77
1055.9,5.6
1058.81,6.11
1060.3,5.56
1060.66,5.43
1061,5.13
1061.3,5.23
1063.04,6.07
1066.9,5.46
1069.7,5.63
1071.1,5.1
1071.5,4.65
1074.2,5.68
1077.2,5.88
1079.7,5.86
1080.2,5.63
1083.2,5.53
1087.3,4.4
1087.7,6.04
1087.91,5.18
1090.6,5.06
1090.82,5.58
1092.3,4.39
1093.7,6.48
1097.69,5.12
1098.8,4.96
1100.9,3.97
1103.9,6.03
1108.7,6.08
1109.86,6.05
1112.4,4.59
1112.5,5.44
1115.7,3.86
1116.3,5.81
1119.8,6.53
1121.24,4.36
1124.7,3.96
1125,4.86
1125.1,5.59
1125.3,5.73
1125.6,4.93
1125.9,5.2
1125.9,4.97
1126.2,5.5
1133.9,5.67
1134.23,7.16
1134.4,4.19
1135.2,5.87
1136,6.39
1137,6.33
1137.3,6.4
1138,6.38
1141.3,5.93
1142.4,6.28
1142.7,4.89
1144.6,6.53
1147.1,5.55
1150,6.47
1151.7,6.24
1154.7,6.09
1156.5,6.81
1156.7,6.77
1157.5,5.92
1161.1,7.03
1164.5,7.09
1166.7,7.3
1167.8,7.14
1172,6.7
1175,7.01
1177.14,5.94
1178.2,6.4
1178.3,6.62
1182.21,5.52
1183,5.9
1185.5,5.52
1186.5,5.35
1186.74,5.37
1190.2,5.74
1198,4.97
1204.3,5.82
1205.76,5.67
1208.7,4.06
1220,4.57
1222.9,6.36
1226.58,7.4
1229.3,6
1230.3,6.47
1234.1,7.38
1237,7.28
1242,7.31
1246,6.73
1250.1,6.25
1254.6,5.72
1259.1,7.06
1262.1,6.73
1265.7,5.87
1266.6,6.71
1274,4.98
1277.6,4.13
1281.63,7.12
1282.1,7.2
1291.5,6.65
1294.2,5.17
1294.49,5.73
1298.6,7.08
1302,7.17
1305.2,7.2
1307.8,7.41
1311.7,6.74
1314.4,6.32
1318,5.71
1318.94,7.19
1321,7.35
1324.5,5.91
1329,5.67
1333,5.94
1333.61,7.45
1334.5,6.18
1345.2,6.47
1355.2,3.93
1360.5,4.13
1363.12,6.1
1363.7,2.6
1367.8,3.88
1374.35,4.89
1374.9,5.7
1378,4.78
1381.1,4.87
1386.9,3.11
1387.63,5.02
1388.1,3.42
1388.66,4.4
1391.1,3.93
1392.28,3.21
1392.28,3.48
1394,3.46
1397.17,3.64
1397.8,2.84
1400.12,6.39
1402.24,2.99
1402.5,3.68
1405.1,3.13
1405.5,3.45
1407.7,5.09
1409,4.43
1410.4,4.77
1412.2,3.68
1412.4,5.34
1415,2.99
1415.1,2.69
1416.9,2.21
1418.6,2.21
1420.71,5.12
1422.5,6.04
1422.74,6.14
1424.51,3.16
1426.6,5.93
1428,7.05
1430.13,3.92
1430.4,5.3
1433.5,5.3
1433.7,5.63
1436.26,5.77
1437.1,4.72
1438,4.9
1438.46,4.91
1439.2,5.04
1439.67,4.47
1440,3.81
1444.5,6.25
1444.78,5.25
1445.1,4.59
1445.1,6.13
1447,5.67
1447,7.33
1447.3,6.37
1449,5.78
1449.4,4.64
1450.1,6.14
1453.1,7.68
1454.1,5.9
1456.2,7.34
1457.7,4.87
1459.2,7.61
1460.2,7.22
1460.69,8.02
1461,7.13
1462.3,7.33
1462.9,7.43
1464.9,10.84
1465.57,7.27
1466,7.68
1466.4,7.14
1468.2,7.55
1468.6,7.76
1469.1,7.75
1469.3,5.52
1471.8,8.02
1474.4,8.16
1475.4,7.48
1475.9,8.14
1476.94,7.8
1477.4,7.69
1477.6,5.35
1479,7.5
1481.1,7.99
1481.5,8.13
1486.1,8.11
1486.3,7.18
1486.48,7.07
1490.2,7.87
1490.5,6.54
1492.5,7.61
1492.5,7.07
1494.8,4.31
1496.9,6.28
1498.8,7.17
1502.2,7.34
1504.3,6.92
1504.6,7.59
1504.8,7.57
1508.1,7.4
1508.98,6.88
1511.3,6.87
1512,7.95
1513.5,7.53
1515.4,7.37
1516.7,5.01
1518.07,6.92
1523.2,7.5
1525.2,7.94
1526.7,7.02
1527.8,7.17
1527.8,8.31
1528.5,8.48
1529.3,8.26
1530.1,6.76
