"","height","age_median","age_min","age_max","plus","minus"
"354",1765,767.32,764.61,770.1,2.77,2.72
"355",1770,767.04,764.33,769.83,2.79,2.71
"356",1775,766.75,764,769.5,2.75,2.75
"357",1780,766.46,763.56,769.07,2.6,2.9
"358",1785,766.17,763.25,768.76,2.59,2.92
"359",1790,765.88,763.06,768.58,2.69,2.82
"360",1795,765.59,762.69,768.21,2.62,2.9
"361",1800,765.3,762.39,767.92,2.62,2.9
"362",1805,764.99,762.11,767.64,2.65,2.88
"363",1810,764.69,761.8,767.35,2.65,2.89
"364",1815,764.39,761.5,767.06,2.67,2.88
"365",1820,764.08,761.2,766.77,2.69,2.88
"366",1825,763.77,760.9,766.48,2.71,2.87
"367",1830,763.46,760.58,766.18,2.72,2.87
"368",1835,763.14,760.27,765.88,2.74,2.87
"369",1840,762.82,759.96,765.59,2.77,2.86
"370",1845,762.5,759.63,765.29,2.78,2.87
"371",1850,762.18,759.33,765,2.82,2.85
"372",1855,761.85,758.99,764.68,2.83,2.87
"373",1860,761.53,758.65,764.38,2.85,2.88
"374",1865,761.2,758.3,764.07,2.87,2.9
"375",1870,760.86,757.96,763.76,2.9,2.9
"376",1875,760.53,757.61,763.45,2.92,2.92
"377",1880,760.19,757.28,763.16,2.97,2.91
"378",1885,759.85,756.89,762.8,2.95,2.96
"379",1890,759.51,756.54,762.49,2.98,2.97
"380",1895,759.16,756.15,762.13,2.97,3.01
"381",1900,758.81,755.81,761.84,3.03,2.99
"382",1905,758.46,755.44,761.51,3.05,3.02
"383",1910,758.1,755.01,761.12,3.02,3.09
"384",1915,757.74,754.64,760.79,3.05,3.1
"385",1920,757.38,754.09,760.27,2.9,3.29
"386",1925,757.01,753.65,759.87,2.86,3.37
"387",1930,756.64,753.25,759.51,2.87,3.39
"388",1935,756.26,752.84,759.14,2.88,3.43
"389",1940,755.89,752.43,758.8,2.91,3.45
"390",1945,755.5,752.01,758.43,2.93,3.49
"391",1950,755.12,751.6,758.08,2.96,3.52
"392",1955,754.74,751.19,757.74,3.01,3.54
"393",1960,754.35,750.76,757.38,3.03,3.58
"394",1965,753.95,750.48,757.17,3.21,3.47
"395",1970,753.55,749.86,756.61,3.05,3.69
"396",1975,753.15,749.42,756.23,3.07,3.73
"397",1980,752.75,748.95,755.84,3.09,3.79
"398",1985,752.34,748.56,755.51,3.17,3.78
"399",1990,751.92,748.07,755.1,3.18,3.85
"400",1995,751.5,747.6,754.7,3.2,3.9
"401",2000,751.08,747.26,754.45,3.37,3.82
"402",2005,750.64,746.75,754.02,3.37,3.89
"403",2010,750.21,746.23,753.58,3.37,3.97
"404",2015,749.77,745.72,753.17,3.4,4.04
"405",2020,749.31,745.47,753.01,3.7,3.84
"406",2025,748.86,744.95,752.56,3.7,3.91
"407",2030,748.4,744.19,751.9,3.49,4.21
"408",2035,747.95,743.94,751.75,3.8,4.01
"409",2040,747.48,743.36,751.27,3.78,4.12
"410",2045,747.01,742.9,750.9,3.9,4.11
"411",2050,746.53,742.34,750.45,3.91,4.2
"412",2055,746.05,741.81,750.04,3.98,4.25
"413",2060,745.56,741.24,749.6,4.04,4.33
"414",2065,745.07,740.69,749.17,4.1,4.37
"415",2070,744.56,740.12,748.73,4.17,4.45
"416",2075,744.06,739.32,748.06,4.01,4.74
"417",2080,743.54,738.97,747.85,4.31,4.57
"418",2085,743.01,738.36,747.38,4.37,4.65
"419",2090,742.47,737.7,746.88,4.41,4.77
"420",2095,741.93,736.97,746.29,4.36,4.96
"421",2100,741.38,736.29,745.76,4.39,5.08
"422",2105,740.83,735.8,745.42,4.59,5.03
"423",2110,740.27,735.12,744.91,4.64,5.15
"424",2115,739.7,734.46,744.44,4.74,5.24
"425",2120,739.12,733.74,743.91,4.79,5.38
"426",2125,738.55,733.05,743.44,4.9,5.5
"427",2130,737.94,732.35,742.94,5,5.6
